"","X","nct_id","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"21099",24003,"NCT01786668",64041,0.019230769,1,52,"From informed consent through and including 28 calendar days after the last administration of the investigational product.","The same event may appear as both an adverse event (AE) and a serious AE (SAE). However, what is presented are distinct events. An event may be categorized as serious in 1 participant and as nonserious in another participant, or 1 participant may have experienced both a serious and nonserious event during the study.","Tofacitinib 10 mg BID","Participants were administered 4 tablets (two 5 mg tablets of tofacitinib and two 1 mg matching placebo tablets) orally twice a day (in the AM and PM) for a total of 12 weeks."
"21285",24204,"NCT00730015",360370,0.01843318,4,217,"Adverse Event data were collected from October 2008 through October 2009. The Treatment Period lasted 12 weeks and the Randomized Withdrawal (RW) Period started after the Treamtent Period and lasted 4 weeks.",NA,"Linaclotide 290μg","Linaclotide, 290μg dose, oral administration, once per day"
"21360",24291,"NCT00096031",563821,0.018181818,1,55,"After every 28 days while on treatment","Standard AE form","Cetuximab",NA
"21559",24506,"NCT00387621",488497,0.017241379,1,58,"Participants were followed for adverse events from the time of randomization until the completion of the second visit, approximately two months.",NA,"Nesiritide","The first 10 subjects in each group received a dose of 5 ug/kg and the next 10 subjects received a dose of 10 ug/kg. As this was a cross over study, all participants received placebo and nesiritide."
"21969",24953,"NCT01600014",99489,0.015555556,7,450,"8-week treatment periods (1st or 2nd cycle)",NA,"Ingenol Mebutate 0.015% Gel (1. Cycle)","Open label topical field treatment once daily for 3 consecutive days with ingenol mebutate 0.015% gel within a 25 cm2 treatment area on the face or scalp"
"22056",25052,"NCT00916006",291867,0.015151515,2,132,"57 days","For the safety population, the total sample size was 132 patients who received PEP005 Gel (2 patients never received study medication and one patient actually received vehicle gel) and 135 patients who received vehicle gel.","PEP005 (Ingenol Mebutate) Gel, 0.015%","PEP005 (ingenol mebutate) Gel 0.05% once daily for 3 consecutive days"
"22278",25292,"NCT00765882",346327,0.014084507,3,213,"Adverse Event reporting occurred from October 2008 through August 2009.",NA,"Linaclotide 145µg","Linaclotide, 145µg dose, oral administration, once per day"
"22364",25384,"NCT00730015",360371,0.013824885,3,217,"Adverse Event data were collected from October 2008 through October 2009. The Treatment Period lasted 12 weeks and the Randomized Withdrawal (RW) Period started after the Treamtent Period and lasted 4 weeks.",NA,"Linaclotide 145μg","Linaclotide, 145μg dose, oral administration, once per day"
"22440",25470,"NCT00686166",376980,0.013513514,1,74,"Up to 4 years","Eligible patients who received any treatment and were assessed for adverse events are included in the adverse event summaries.","Chemotherapy","Patients receive oxaliplatin 50 mg/m^2 IV (Days 1, 8, 15, 22, 29), cetuximab 400 mg/m^2 IV (Day 1), cetuximab 250 mg/m^2 IV (Days 8, 15, 22, 29), capecitabine 1650 mg/m^2 PO (Monday-Friday, Day 1-35). Cycle is 35 days, followed by a 14-day break."
"22683",25731,"NCT01642914",91584,0.0125,2,160,"Adverse event reporting occurred over a 10 month period from August of 2012 to June of 2013 at 141 study sites in the United States and Canada",NA,"Linaclotide 290 Micrograms","Linaclotide 290 micrograms
Linaclotide 290 micrograms: oral capsule, taken once daily each morning at least 30 minutes before breakfast"
"22888",25956,"NCT00460811",460426,0.011764706,1,85,"Adverse event data were collected from March of 2007 to April 2008.",NA,"290 µg Linaclotide Acetate","Linaclotide, 290μg dose, oral administration, once per day"
"23302",26407,"NCT00938717",284669,0.009950249,4,402,"Adverse event data were collected from July of 2009 to September of 2010 (26 weeks of safety data were collected)",NA,"Linaclotide","Linaclotide 290μg, oral administration, once per day."
"23390",26504,"NCT01880424",52096,0.009615385,4,416,"Adverse event data were collected from July 2013 to May 2015 (12 weeks of safety data were collected). Includes serious adverse events that occurred on or after the date of the first dose of study drug and within 30 days of the last dose of study drug.","Of the 839 randomized patients, a total of 835 patients received at least one dose of double-blind study drug and were included in the Safety Population.","Linaclotide Arm","Linaclotide 290 ug capsules, oral, once daily"
"23470",26587,"NCT00667251",383512,0.00931677,3,322,"Median follow-up of 21.5 months","Serious Adverse Events that were reported to Health Canada","Lapatinib","Plus taxane based chemotherapy"
"23682",26812,"NCT01401166",141471,0.008350731,4,479,NA,"Safety population: All participants who received at least 1 dose of trastuzumab.
Not all participants in the safety population received trastuzumab both subcutaneously and intravenously due to participants discontinuing from the study before they crossed-over to the other route of administration.","Trastuzumab SC – Crossover Period","Participants received trastuzumab 600 mg subcutaneously (SC) on Day 1 of each 3-week cycle for 4 cycles."
"23787",26923,"NCT00742391",355325,0.008,1,125,"57 days","One patient in the PEP005 Gel, 0.05% group discontinued study medication (Day 2 dose not applied) due to an AE (application site pain)","PEP005 (Ingenol Mebutate) Gel","PEP005 (ingenol mebutate) Gel 0.05% once daily for 2 consecutive days"
"23900",27051,"NCT01600014",99488,0.007462687,1,134,"8-week treatment periods (1st or 2nd cycle)",NA,"Ingenol Mebutate 0.015% Gel (2. Cycle)","Repeat use once daily for 3 consecutive days with ingenol mebutate 0.015% gel of the same treatment area (25 cm2 treatment area on the face or scalp) in a randomised, controlled, double-blind setting, at Week 8 (field recalcitrant subgroup) or Week 26 or Week 44 (field recurrent subgroup)"
"23988",27148,"NCT00915551",292007,0.007042254,1,142,"57 days",NA,"PEP005 (Ingenol Mebutate) Gel, 0.015%","PEP005 (ingenol mebutate) Gel 0.05% once daily for 3 consecutive days"
"24506",27699,"NCT00948818",280984,0.004926108,2,406,"Adverse event data for the treatment period was collected from July of 2009 to July of 2010","803 patients were randomized to treatment. A total of 802 patients received double-blind study drug and were included in the Safety Population.","Linaclotide - Treatment Period","Linaclotide 290µg, oral administration, once per day."
"24635",27839,"NCT01401166",141470,0.0041841,2,478,NA,"Safety population: All participants who received at least 1 dose of trastuzumab.
Not all participants in the safety population received trastuzumab both subcutaneously and intravenously due to participants discontinuing from the study before they crossed-over to the other route of administration.","Trastuzumab IV – Crossover Period","Participants received trastuzumab 6 mg/kg intravenously (IV) on Day 1 of each 3-week cycle for 4 cycles. In case Cycle 1 of the crossover period was the first cycle of trastuzumab treatment, a loading dose of trastuzumab 8 mg/kg IV was administered."
"24973",28197,"NCT00475852",454449,0.001429388,5,3498,NA,NA,"Nesiritide","0.01 mcg/kg/min IV infusion (with or without 2 mcg/kg bolus) for 24 to 168 hrs"
"25349",28614,"NCT00344773",503008,NA,4,NA,NA,NA,"Gefitinib","Gefitinib 250mg tablet"
"25439",28719,"NCT00264498",527829,NA,4,NA,NA,NA,"Experimental","Gefitinib"
"25490",28776,"NCT00229723",535440,NA,9,NA,NA,NA,"250mg/Placebo","Concomitant gefitinib 250 mg (plus cisplatin and radiotherapy) followed by placebo as maintenance therapy"
"25491",28777,"NCT00229723",535439,NA,21,NA,NA,NA,"500mg/Placebo","Concomitant gefitinib 500 mg (plus cisplatin and radiotherapy) followed by placebo as maintenance therapy"
"25492",28778,"NCT00229723",535438,NA,15,NA,NA,NA,"250mg/250mg","Concomitant gefitinib 250 mg (plus cisplatin and radiotherapy) followed by gefitinib 250 mg as maintenance therapy"
"25493",28779,"NCT00229723",535437,NA,14,NA,NA,NA,"500mg/500mg","Concomitant gefitinib 500 mg (plus cisplatin and radiotherapy) followed by gefitinib 500 mg as maintenance therapy"
"25494",28780,"NCT00229723",535436,NA,16,NA,NA,NA,"Placebo/250mg","Concomitant placebo (plus cisplatin and radiotherapy) followed by gefitinib 250 mg as maintenance therapy"
"25495",28781,"NCT00229723",535435,NA,11,NA,NA,NA,"Placebo/500mg","Concomitant placebo (plus cisplatin and radiotherapy) followed by gefitinib 500 mg as maintenance therapy"
"25572",28871,"NCT00137449",550591,NA,13,NA,NA,NA,"AM Dose Sunitinib Malate","Subjects received sunitinib malate at a starting dose of 37.5 mg/day in repeated 4-week cycles and cycles could be repeated for up to 1 year in the absence of any withdrawal criteria. Subjects were randomized to receive either morning (AM) or afternoon (PM) dose. Doses could be increased to 50 mg daily."
"25573",28872,"NCT00137449",550590,NA,12,NA,NA,NA,"PM Dose Sunitinib Malate","Subjects received sunitinib malate at a starting dose of 37.5 mg/day in repeated 4-week cycles and cycles could be repeated for up to 1 year in the absence of any withdrawal criteria. Subjects were randomized to receive either morning (AM) or afternoon (PM) dose. Doses could be increased to 50 mg daily."
"25574",28873,"NCT00137423",550631,NA,21,NA,NA,NA,"AM Dose Sunitinib Malate (SU011248)","Patients received a starting dose of 37.5 mg/day of sunitinib malate in the morning repeated 4-week cycles continuing for up to 1 year in absence of any withdrawal criteria."
"25575",28874,"NCT00137423",550630,NA,20,NA,NA,NA,"PM Dose Sunitinib Malate (SU011248)","Patients received a starting dose of 37.5 mg/day of sunitinib malate in the evening repeated 4-week cycles continuing for up to 1 year in absence of any withdrawal criteria."
"25621",28923,"NCT00075218",570059,NA,83,NA,NA,NA,"Sunitinib Double-Blind Treatment","Starting dose: 50 mg orally once daily as a single agent for 4 consecutive weeks followed by a 2-week off-treatment period to form a complete cycle of 6 weeks. (Schedule 4/2). Subjects received best supportive care in addition to the study treatment."
